NOMBRE_DEL_SOLISTA_DE_LA_BANDA;GENERO;ESTILO;FECHA_INSCRIPCION;LINK_FACEBOOK;LINK_TWITTER;OTRAS_REDES;DISCOS;LINK_VIDEOCLIP;VIDEO_EN_VIVO;BARRIO;CANTIDAD_DE_INTEGRANTES
SIR MAKONEN;SKA / REGGAE ;;01/08/17;HTTPS://FACEBOOK.COM/SIRMAKONEN.FAN;HTTPS://TWITTER.COM/SIRMAKONEN;HTTP://WWW.INSTAGRAM.COM/SIRMAKONEN , HTTP://WWW.SIRMAKONEN.COM/;TOMEMOS EL PODER (2014);;HTTPS://WWW.YOUTUBE.COM/WATCH?V=XPUTQBX03DS;REMEDIOS DE ESCALADA;14
JUSTO ANTES DE LA GUERRA CON LOS ESQUIMALES;INDIE ;;31/07/17;;;@JUSTOANTESOK , HTTPS://JUSTOANTES.BANDCAMP.COM/RELEASES;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=DJNRPYIBVM8 , HTTPS://WWW.YOUTUBE.COM/WATCH?V=NEY-FKARZHM;BERNAL;6
LOS CARLETTO;POP ;POP ROCK;27/07/17;;;HTTPS://WWW.YOUTUBE.COM/USER/SANTIAGOCARLETTO1 , HTTPS://WWW.INSTAGRAM.COM/LOSCARLETTO/;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=WURRIZPLK8M , HTTPS://WWW.YOUTUBE.COM/WATCH?V=LXUX8_IH_EU;HTTPS://WWW.YOUTUBE.COM/WATCH?V=DT28MKXOO3O , HTTPS://WWW.YOUTUBE.COM/WATCH?V=IAGO74USE40;JUNIN;3
LOSA GUIJONES;ROCK ;;26/07/17;;;;SUMERGIDOS (2014) , THE LOCOS (2012) , AGUIJONES 2009 (2009) , AHI ESTAS (2004) , POCAS PALABRAS (1998);HTTPS://YOUTU.BE/DHWGGFO5YHC , HTTPS://YOUTU.BE/VZZLUJHEJDQ;HTTPS://YOUTU.BE/VZZLUJHEJDQ , HTTPS://YOUTU.BE/DHWGGFO5YHC;CONSTITUCION;3
ZAMAS;METAL / HEAVY ;;24/07/17;HTTPS://FACEBOOK.COM/ZAMASOFICIAL;;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=HL7NH8QPEPC;HTTPS://WWW.YOUTUBE.COM/WATCH?V=HL7NH8QPEPC;BOEDO;3
COMBATIVO;PUNK;;24/07/17;;HTTPS://TWITTER.COM/NO;NO , HTTPS://YOUTU.BE/KIDQONA3Y;FRIO (2014);HTTPS://YOUTU.BE/KI-DQONA-3Y;HTTPS://YOUTU.BE/KI-DQONA-3Y;VILLA GENERAL MITRE;3
RICARDO NICOLAS PEROTTI;ROCK ;ROCK POP;24/07/17;HTTPS://FACEBOOK.COM/RICARDONICOLAS.PEROTTI;HTTPS://TWITTER.COM/RICKYPEROTTI;INSTAGRAM: RICARDOPEROTTI;VIEJAS PROMESAS (FOLKLORE) (2002);HTTPS://WWW.YOUTUBE.COM/WATCH?V=_9FEISO5JN0;;BARRACAS;1
AVIONETS;POP ;POP ROCK;21/07/17;;;;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=C4Y1EK3ONZI , HTTPS://WWW.YOUTUBE.COM/WATCH?V=ZTCXWIPHWVK;VILLA SOLDATI;1
ALDOROCK;ROCK ;ROCK POP;20/07/17;;HTTPS://TWITTER.COM/ALDOROCK_;HTTPS://WWW.INSTAGRAM.COM/ALDOROCK.OK/ , HTTPS://WWW.YOUTUBE.COM/CHANNEL/UC0B6VYJKY6HR9HI5O_68KVW/FEATURED;CRECER (2013);;HTTPS://WWW.YOUTUBE.COM/WATCH?V=JKET7YKYPQA , HTTPS://WWW.YOUTUBE.COM/WATCH?V=R2RIVUHYYIK;ALDO BONZI;8
JESSICA MARTINEZ;POP ;POP ROCK;14/07/17;;HTTPS://TWITTER.COM/JESS_MARTINEZOK;WWW.INSTAGRAM.COM/JESSICAMARTINEZOK/ , WWW.JESSICAMARTINEZ.COM.AR;COMO TE ATREVES (2014);HTTPS://WWW.YOUTUBE.COM/WATCH?V=YEM40HBAOIE&LIST=PL3KI9NCFKRIPIFDNLKDW5BXYJUCMF3ZHC , HTTPS://WWW.YOUTUBE.COM/WATCH?V=4WELI1MP8VU&LIST=PL3KI9NCFKRIQPBA-SQBU9DQLKDZSINNNU&INDEX=4;HTTPS://WWW.YOUTUBE.COM/WATCH?V=ZUGI_P3ULPQ&LIST=PL3KI9NCFKRIQPBA-SQBU9DQLKDZSINNNU , HTTPS://WWW.YOUTUBE.COM/WATCH?V=Z0QYKREULSC&LIST=PL3KI9NCFKRIQPBA-SQBU9DQLKDZSINNNU&INDEX=5;BALVANERA;1
GUIDAI;ROCK ;;14/07/17;;;;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=8ZSE49_ZM-I&FEATURE=YOUTU.BE;PARQUE CHAS;2
IN.UNION;ROCK ;HARD ROCK;12/07/17;HTTPS://FACEBOOK.COM/IN.UNION.OFICIAL;;HTTPS://WWW.INSTAGRAM.COM/INUNIONROCK/ , HTTP://INUNION.WIX.COM/INUNION;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=KHZBPBKAZQM , HTTPS://WWW.YOUTUBE.COM/WATCH?V=MJD9-XO7PMS;HTTPS://WWW.YOUTUBE.COM/WATCH?V=WCEILKY-ZH8;VILLA MAIPU;4
MARTIN GILARDI;ROCK ;ROCK POP;12/07/17;HTTPS://FACEBOOK.COM/MARTIN7GILARDI;;HTTPS://WWW.FACEBOOK.COM/MARTIN7GILARDI;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=DACYCGU1SKS;HTTPS://WWW.YOUTUBE.COM/WATCH?V=DACYCGU1SKS;BANFIELD;1
SOMATINA;SOLISTA ;;12/07/17;HTTPS://FACEBOOK.COM/SOMATINA;;HTTPS://WWW.INSTAGRAM.COM/SOMATINA/ , HTTPS://WWW.INSTAGRAM.COM/SOMATINA/ , HTTPS://SOUNDCLOUD.COM/SOMATINA;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=MNSDRKNTTBK , HTTPS://WWW.YOUTUBE.COM/WATCH?V=CDBOB2HLGWY;BOEDO;1
ATLETICO CHIPSET;INSTRUMENTAL ;;11/07/17;;;HTTP://ATLETICOCHIPSET.BANDCAMP.COM/;HOMONIMO (2016) (2014) , VOLUMEN 2 (2017) (2014);;;FLORES;4
ANKAMORA;ROCK ;ROCK ALTERNATIVO;11/07/17;;;HTTPS://WWW.INSTAGRAM.COM/ANKAMORAARG/ , HTTP://WWW.ANKAMORA.COM/;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=XLMIVA1FK3Q , HTTPS://WWW.YOUTUBE.COM/WATCH?V=KPOPWHHPXT0;HTTPS://WWW.YOUTUBE.COM/WATCH?V=D-KPOHMPWIG , HTTPS://WWW.YOUTUBE.COM/WATCH?V=OHNO0BUA5GE;CHACARITA;3
A SECAS;ROCK ;;10/07/17;HTTPS://FACEBOOK.COM/ASECASROCK;;WWW.YOUTUBE.COM/ASECASROCK , WWW.INSTAGRAM/ASECASROCK;RASGUÑANDO EL CIELO (2014);HTTPS://WWW.YOUTUBE.COM/WATCH?V=XQ7CFXGIDGK , HTTPS://WWW.YOUTUBE.COM/WATCH?V=-WLHI0N3GMY;HTTPS://WWW.YOUTUBE.COM/WATCH?V=W7DBTL7VFL8;VILLA ORTUZAR;4
CONCIENCI PARALELA;ROCK ;ROCK ALTERNATIVO;07/07/17;;;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=0Q6M6A8AOH8 , HTTPS://WWW.YOUTUBE.COM/WATCH?V=_FCU-68A3S4;HTTPS://WWW.YOUTUBE.COM/WATCH?V=0Q6M6A8AOH8 , HTTPS://WWW.YOUTUBE.COM/WATCH?V=_FCU-68A3S4;VERSALLES;4
ARMAS DE CONCIENCIA;ROCK ;POWER TRIO;06/07/17;HTTPS://FACEBOOK.COM/ARMASDC;;;ARMAS DE CONCIENCIA (2013);HTTPS://WWW.YOUTUBE.COM/WATCH?V=3ZILBS9SBLE;HTTPS://WWW.YOUTUBE.COM/WATCH?V=OQ-Z_XEGMLU , HTTPS://WWW.YOUTUBE.COM/WATCH?V=7ADQBGK-QZW;RAFAEL CASTILLO;3
PIES HUMANOS;ROCK ;ROCK PROGRESIVO;06/07/17;;;;;HTTPS://YOUTU.BE/EPGEZS671TG , HTTPS://YOUTU.BE/HNWH8G02SPC;;BELGRANO;5
QUE TE TIENTA;ROCK ;;05/07/17;;;;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=8KZONYEFIEA;LA BOCA;5
BELUGASKAN;SKA / REGGAE ;;04/07/17;HTTPS://FACEBOOK.COM/BELUGASKAB;HTTPS://TWITTER.COM/BELUGASKAN_SKA;FACEBOOK.COM/BELUGASKAN1;BUSCANDO FUTUROS (2014) , NO LE ALCANZA LO NORMAL (2013);;HTTPS://YOUTU.BE/XMKXO5EH0SO , HTTPS://YOUTU.BE/KC3HNF2H3F8;QUILMES;10
PIANO LED;POP ;POP CANCION;03/07/17;;;HTTPS://WWW.YOUTUBE.COM/CHANNEL/UC9O1NXRSYHPY02T3HTYW2Q;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=NY7VMG1JEHI;COLEGIALES;3
ALA PAR DUO;FOLKLORE ;;29/06/17;;;;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=WNPPOA8PBRO , HTTPS://WWW.YOUTUBE.COM/WATCH?V=FBPOT_AAY_G;BARRACAS;1
M32;ROCK ;ROCK ALTERNATIVO;22/06/17;;;HTTPS://WWW.INSTAGRAM.COM/M32OFICIAL/;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=6TVIGQEZZBU;BOEDO;5
REFLECTION;POP;;21/06/17;HTTPS://FACEBOOK.COM/REFLECTIONZONEAR;HTTPS://TWITTER.COM/REFLECTIONZONE;WWW.SOUNDCLOUD.COM/REFLECTIONZONEAR , WWW.INSTAGRAM.COM/REFLECTIONZONEAR , WWW.REFLECTIONZONEAR.COM.AR;THEOREMA (1990);HTTPS://WWW.YOUTUBE.COM/WATCH?V=RS0PI_5JBFW , HTTPS://WWW.YOUTUBE.COM/WATCH?V=3QPTYZMZJRM;HTTPS://WWW.YOUTUBE.COM/WATCH?V=FFZANGMGJ2G&T=324S , HTTPS://WWW.YOUTUBE.COM/WATCH?V=SKRQX8IAYA8;PUERTO MADERO;2
EFECTO ALFONS;ROCK ;POWER TRIO;21/06/17;;HTTPS://TWITTER.COM/EFECTOALFONS;INSTAGRAM , WWW.EFECTOALFONS.COM;EFECTO ALFONS (2014);;HTTPS://YOUTU.BE/FVYM6SU2M-C , HTTPS://YOUTU.BE/-42ZGULNNMC;BARRACAS;3
NAVIDAD EN AGOSTO;POP ;POP ROCK;20/06/17;;;HTTPS://WWW.INSTAGRAM.COM/NAVIDADENAGOSTO/ , HTTPS://WWW.YOUTUBE.COM/CHANNEL/UC2SG1NPI0S9BWHFM7OS6O3A;SE FELIZ! (2000);;HTTPS://WWW.YOUTUBE.COM/WATCH?V=WNCIPFCEYCG , HTTPS://WWW.YOUTUBE.COM/WATCH?V=JG3EB7O2HRW;BALVANERA;4
LULO Y LOS GENTILES;POP;;16/06/17;;;INSTAGRAM @LULOYLOSGENTILES , LULOYLOSGENTILES.BANDCAMP.COM;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=-VDHU-AHFIK;VILLA SOLDATI;4
AGREXOR;METAL / HEAVY ;HEAVY METAL;14/06/17;HTTPS://FACEBOOK.COM/AGREXOR;;HTTPS://WWW.FACEBOOK.COM/AGREXOR/;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=VZMRIJOIVQW;BOEDO;4
DOS COMODINES;ROCK ;ROCK POP;12/06/17;;HTTPS://TWITTER.COM/DOSCOMODINES;INSTAGRAM @DOSCOMODINES;DOS COMODINES (2008) , DESPERTAR (2006);HTTPS://YOUTU.BE/UCGS8Q3SOH8;HTTPS://YOUTU.BE/XE_1EB5SEME;BALVANERA;5
MALDICION DE ROCK;ROCK ;HARD ROCK;09/06/17;;HTTPS://TWITTER.COM/MALDICIONDEROCK;HTTPS://WWW.INSTAGRAM.COM/MALDICIONDEROCK/ , HTTPS://WWW.YOUTUBE.COM/CHANNEL/UCHVYEKG1FPISUJO3QI5ELG;;HTTPS://YOUTU.BE/V5GLUEWYH6I , HTTPS://YOUTU.BE/WW_67H6PKXI;;RETIRO;4
SIGNOS;ROCK ;HARD ROCK;09/06/17;;HTTPS://TWITTER.COM/SIGNOSARGENTINA;HTTPS://SOUNDCLOUD.COM/SIGNOSROCK , HTTPS://WWW.FACEBOOK.COM/STEREOSIGNOS;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=2S7IIEJQNBI , HTTPS://WWW.YOUTUBE.COM/WATCH?V=T7ZEXB-XZRI;;COGHLAN;4
SAN FULANO;ROCK ;POWER TRIO;08/06/17;;;HTTPS://WWW.FACEBOOK.COM/SANFULANOROCK;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=8QUYHR5KPFA , HTTPS://WWW.YOUTUBE.COM/WATCH?V=YHZT-OFUDP4;HTTPS://WWW.YOUTUBE.COM/WATCH?V=2JABFO3EFVY , HTTPS://WWW.YOUTUBE.COM/WATCH?V=P4UO5XL4YBO;MONSERRAT;4
KAULA;MELODICO ;;07/06/17;;;HTTPS://KAULA.BANDCAMP.COM/;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=0R94HUNA4ME , HTTPS://WWW.YOUTUBE.COM/WATCH?V=KGTW-SQ2DVA;DON TORCUATO;2
VIAJE COSMICO;ROCK ;;04/06/17;;HTTPS://TWITTER.COM/MENDEZANGEL1975;;ESTOY AQUI (2014);;HTTPS://YOUTU.BE/LYGCDMTQCIK;CONSTITUCION;1
FACA;INDIE ;;03/06/17;;;HTTPS://WWW.STIERPRODUCCIONES.COM/FACABANDA/ , HTTPS://WWW.STIERPRODUCCIONES.COM/FACABANDA/;CANCIONCITAS VOL. I (1999);HTTPS://WWW.YOUTUBE.COM/WATCH?V=5C_IJ4Z4EFE;HTTPS://WWW.YOUTUBE.COM/WATCH?V=J72ECVOQ8FI;LA PLATA;5
TWATS;ROCK ;;01/06/17;;;TWATS ROCK , WWW.TWATS.COM.AR;QUIERO GRITAR (2014);HTTPS://YOUTU.BE/EC4L6XKFI8I;;CABA;5
LA GRACIA;HIP HOP / RAP ;;31/05/17;;;INSTAGRAM: @LAGRACIAMUSICA , HTTPS://SOUNDCLOUD.COM/LAGRACIAMUSICA , HTTPS://LAGRACIA.BANDCAMP.COM/;;HTTPS://YOUTU.BE/M4PUBPSVMKG;HTTPS://YOUTU.BE/6IBXAN9EFAE;VERSALLES;3
DOPPLER MUSIC;INDIE ;;30/05/17;;;HTTPS://WWW.INSTAGRAM.COM/DOPPLERMUSICA/;;;;SAN NICOLAS;2
AFTERLFE;POP ;POP ROCK;30/05/17;HTTPS://FACEBOOK.COM/AFTERLIFEARG;HTTPS://TWITTER.COM/AFTERLIFEARG;HTTPS://WWW.INSTAGRAM.COM/AFTERLIFEARG/ , HTTPS://WWW.YOUTUBE.COM/AFTERLIFEARG , HTTP://WWW.AFTERLIFE.COM.AR/;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=T6HKAW_ZY8A , HTTPS://WWW.YOUTUBE.COM/WATCH?V=HX8EETNEOYU;HTTPS://WWW.YOUTUBE.COM/WATCH?V=JXUG22FGOKK&T=33S , HTTPS://WWW.YOUTUBE.COM/WATCH?V=WZOFSVG8NZU;SAN CRISTOBAL;5
CHAI TORRES;POP ;POP ROCK;30/05/17;;;;REFLEJO (2000);HTTPS://WWW.YOUTUBE.COM/WATCH?V=ZTFQDTNKLWS;HTTPS://WWW.YOUTUBE.COM/WATCH?V=H1TPXAC8ACW&T=21S;BOEDO;5
LA NAVE;BLUES;;24/05/17;;;HTTPS://WWW.FACEBOOK.COM/LANAVE.0/?REF=AYMT_HOMEPAGE_PANEL;;;;PALERMO;6
GUITA BABY;INDIE ;;22/05/17;HTTPS://FACEBOOK.COM/GUITABABYOK;;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=6G1MLTL2KUC , HTTPS://WWW.YOUTUBE.COM/WATCH?V=RKFYJWWSBDG;HTTPS://WWW.YOUTUBE.COM/WATCH?V=4QPG-KBGIQ0;MONTE GRANDE;2
GIAN;POP;;20/05/17;;;GIANLMUSIC@YAHOO.COM.AR;;;;BOEDO;3
HISTERIA;INDIE ;;18/05/17;;HTTPS://TWITTER.COM/HISTERIAMUSICA;HTTPS://WWW.FACEBOOK.COM/HISTERIAMUSICA , HTTP://HISTERIAROCK.WIXSITE.COM/HISTERIA;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=E5DDDI5BP7I , HTTPS://WWW.YOUTUBE.COM/WATCH?V=XSOKPPWRAZA;;MORON;1
WHITE SECONDS;METAL / HEAVY ;HARDCORE;18/05/17;;HTTPS://TWITTER.COM/WHITESECONDS;HTTPS://WWW.FACEBOOK.COM/WHITESECONDS/ , HTTPS://WWW.INSTAGRAM.COM/WHITESECONDSOFICIAL/ , HTTP://WHITESECONDSS4.WIXSITE.COM/WHITESECONDS;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=GUYY9PRUI-S , HTTPS://WWW.YOUTUBE.COM/WATCH?V=XZAYLY9P-CK;AGRONOMIA;6
PROFETAS DEL ORIGEN;ROCK ;;17/05/17;;;HTTPS://WWW.INSTAGRAM.COM/PROFETASDELORIGEN/?HL=ES;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=ZFP9SVR7TCI;QUILMES;5
LOS PERLA CAFE;POP ;POP CANCION;15/05/17;;;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=-LAW7JC7NE8;HTTPS://WWW.YOUTUBE.COM/WATCH?V=BWGQ-YSWPPI&T=2S , HTTPS://WWW.YOUTUBE.COM/WATCH?V=Z-HABCI4BKO;ALMAGRO;2
ILUSOS TIMADORES;ROCK ;;15/05/17;;;HTTPS://WWW.YOUTUBE.COM/CHANNEL/UCC12N866OGUKZMZCZQ7TRQQ;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=FC2QF8KQN78;RAMOS MEJIA;1
PRESENTES ROCK;ROCK ;;09/05/17;;;HTTPS://WWW.FACEBOOK.COM/PRESENTESROCK/;PRESENTES (2014);HTTPS://WWW.YOUTUBE.COM/WATCH?V=--SA--T3UIE;HTTPS://WWW.YOUTUBE.COM/WATCH?V=7-SK4BW9R1W;VILLA CRESPO;4
COCTEL;ROCK ;ROCK POP;08/05/17;;;COCTELMUSICA.BANDCAMP.COM;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=3FSRL1YW5-C;HTTPS://WWW.YOUTUBE.COM/WATCH?V=LMSZK9QFZLK , HTTPS://WWW.YOUTUBE.COM/WATCH?V=-H1HEH_RLJK;LOMAS DEL MIRADOR;3
BUEY SOLO;INDIE ;;06/05/17;;;HTTPS://WWW.INSTAGRAM.COM/BUEY_SOLO/ , HTTPS://BUEYSOLO.BANDCAMP.COM/;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=XDF3O6XERDI;HTTPS://WWW.YOUTUBE.COM/WATCH?V=6P0TK3YAWM0&FEATURE=YOUTU.BE;SAAVEDRA;3
RUGIENDO;ROCK ;;06/05/17;;;HTTPS://M.YOUTUBE.COM/CHANNEL/UCCCN4XMLO7VSJ64TFEZ6TXA;;;;GRAND BOURG;1
MANS;POP ;POP ROCK;04/05/17;HTTPS://FACEBOOK.COM/MANSBANDA;HTTPS://TWITTER.COM/MANSBANDA;WWW.INSTAGRAM.COM/MANSBANDA , HTTPS://OPEN.SPOTIFY.COM/ALBUM/2MAEYO2OG9PJIGUGOPTNEJ , WWW.MANSBANDA.WIXSITE.COM/MANS;FORMAS AJENAS (1987);;HTTPS://WWW.YOUTUBE.COM/WATCH?V=XP-F-ACNF10&FEATURE=YOUTU.BE , HTTPS://YOUTU.BE/0KYB1PKWYDQ;NUÑEZ;4
2B (TWO BE);HIP HOP / RAP ;;03/05/17;;;;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=ODLEQXEPLHA;VILLA GENERAL MITRE;3
EL RIO;POP;;02/05/17;HTTPS://FACEBOOK.COM/ELRIOMUSIC;HTTPS://TWITTER.COM/ELRIOMUSIC;HTTPS://WWW.INSTAGRAM.COM/ELRIOMUSIC , HTTPS://ELRIO.BANDCAMP.COM;SO OLD AS TO HAVE BECOME NEW AGAIN (2012);HTTPS://YOUTU.BE/KMHFVVU3OSC , HTTPS://YOUTU.BE/7R-2VN0QAFQ;HTTPS://YOUTU.BE/2B_QHBYRZRG , HTTPS://YOUTU.BE/MSNFQG26TIA;NUÑEZ;5
EN 5 ESTOY (N5'E);POP ;POP ROCK;28/04/17;;HTTPS://TWITTER.COM/OFICIALN5E;;EN 5 ESTOY (2016);HTTPS://WWW.YOUTUBE.COM/WATCH?V=3PAAAMGH6EU , HTTPS://WWW.YOUTUBE.COM/WATCH?V=ABJBE1SFHAE;HTTPS://WWW.YOUTUBE.COM/WATCH?V=S489JUVFG0C , HTTPS://WWW.YOUTUBE.COM/WATCH?V=UKTBRJLB3Q0 , HTTPS://WWW.YOUTUBE.COM/WATCH?V=UVCJPFE8EOM&T=4S , HTTPS://WWW.YOUTUBE.COM/WATCH?V=AODZH6DX_NO;BARRACAS;4
INDISSIDIA;ROCK ;GRUNGE;28/04/17;HTTPS://FACEBOOK.COM/INDISSIDIA;;SOUNDCLOUD.COM/INDISSIDIA;;;;VILLA CRESPO;4
BUGIO;POP;;25/04/17;;HTTPS://TWITTER.COM/BUGIOMUSIC;HTTPS://WWW.YOUTUBE.COM/USER/NOSPEBALANIS?FEATURE=AUTONAV , HTTPS://WWW.FACEBOOK.COM/BUGIOMUSIC;EL TOUR DEL AMOR (2014);HTTPS://WWW.YOUTUBE.COM/WATCH?V=53BV0CXYHOS , HTTPS://WWW.YOUTUBE.COM/WATCH?V=3W_IZU59FIU;;ALMAGRO;1
ARTAUD;ROCK ;ROCK POP;20/04/17;;;HTTPS://WWW.INSTAGRAM.COM/ARTAUD.MUSICA/?HL=ES;LEJOS DE BABYLON (1998);HTTPS://WWW.YOUTUBE.COM/WATCH?V=1FVBQG-M6BO , HTTPS://WWW.YOUTUBE.COM/WATCH?V=LCQHUP9IYCO;HTTPS://YOUTU.BE/TLUTN1K7AQQ;MONTE CASTRO;3
GIAN;POP;;13/04/17;;;GIANLMUSIC@YAHOO.COM.AR;ENERGIA RENOVABLE (2014);;;BOEDO;3
HIDROFOBIA;ROCK ;;13/04/17;HTTPS://FACEBOOK.COM/HIDROFOBIA.ROCK;;WWW.SOUNDCLOUD.COM/HIDROFOBIA , WWW.HIDROFOBIAROCK.COM.AR;ALGO TIENE QUE CAMBIAR (2014) , HIDROFOBIA II (2013) , HIDROFOBIA (2011);;HTTPS://WWW.YOUTUBE.COM/WATCH?V=B1FVIEYSXPI , HTTPS://WWW.YOUTUBE.COM/WATCH?V=QSDTC51O9DY;AGRONOMIA;4
LISANDRO MACHADO;FOLKLORE ;FOLKLORE FUSION;12/04/17;;HTTPS://TWITTER.COM/LISANMACHADO;HTTP://LISANDROMACHADO.COM;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=IW2MGLRRVKU;HTTPS://WWW.YOUTUBE.COM/WATCH?V=Q953LTORANA , HTTPS://WWW.YOUTUBE.COM/WATCH?V=CQVUQVLMKRM;BOEDO;4
SINDICATO MONO;ROCK ;;08/04/17;;HTTPS://TWITTER.COM/SINDICATOMONO;;LOS PEORES (2014);HTTPS://WWW.YOUTUBE.COM/WATCH?V=ZTZHEQ12EHK;HTTPS://WWW.YOUTUBE.COM/WATCH?V=QUIHLK1N8XS , HTTPS://WWW.YOUTUBE.COM/WATCH?V=TOIB9DS-MCO;MUNRO;4
LA HURLINGHAM MUSIC;SKA / REGGAE ;;07/04/17;HTTPS://FACEBOOK.COM/LAHURLINGHAMMUSIC;HTTPS://TWITTER.COM/LAHURLINGHAMMUS;HTTP://WWW.LAHURLINGHAMMUSIC.COM/;;;HTTPS://YOUTU.BE/YNL93VGVDQU;BARRACAS;7
LUZ;METAL / HEAVY ;HARDCORE;06/04/17;;;HTTPS://WWW.FACEBOOK.COM/LAULTIMAZIONOFICIAL/;POR LA PAZ (2012);;HTTPS://YOUTU.BE/ZLOSEZ8SI1W;ALMAGRO;3
MARTYNY;SOLISTA ;POP;06/04/17;HTTPS://FACEBOOK.COM/MARTYNYMUSICA;;HTTPS://WWW.YOUTUBE.COM/USER/MARTYNYMUSICA , HTTPS://SOUNDCLOUD.COM/MARTYNYMUSICA;;HTTPS://YOUTU.BE/FNVUS4OWDPE , HTTPS://YOUTU.BE/DSISKQQHVLQ;HTTPS://YOUTU.BE/VOX3U4UVYTE?T=4M58S , HTTPS://YOUTU.BE/OCEJHG--38W;AVELLANEDA;1
EL NENE;TROPICAL / LATINO ;CUMBIA;05/04/17;;;EL NENE , HTTPS://WWW.FACEBOOK.COM;;HTTPS://YOUTU.BE/776FWNSEUEU;HTTPS://YOUTU.BE/776FWNSEUEU;FLORES;1
IN MANTRA;ROCK ;ROCK ALTERNATIVO;04/04/17;HTTPS://FACEBOOK.COM/IN.MANTRAA;;HTTPS://WWW.YOUTUBE.COM/CHANNEL/UC_Q1DIJE406BPCETRX_YCA , INSTAGRAM/IN.MANTRA;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=3HD2UFSD9P8;AGRONOMIA;6
PUENTE ALSINA Y DESPUES..;TANGO ;;03/04/17;;HTTPS://TWITTER.COM/SUSANAIBALO;;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=G6E9BEGZFVE , HTTPS://WWW.YOUTUBE.COM/WATCH?V=DW3WNZQ0BG8;MONSERRAT;2
AFTERPAIN;ROCK ;ROCK ALTERNATIVO;31/03/17;HTTPS://FACEBOOK.COM/AFTERPAIN;HTTPS://TWITTER.COM/AFTERPAINMUSIC;SOUNDCLOUD.COM/AFTERPAINMUSIC;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=T-U9PQVHRK0;PARQUE AVELLANEDA;5
LA BOTICA;ROCK ;ROCK & ROLL;27/03/17;;;;PATRIMONIO NACIONAL (2009) , CARRERA AL INFIERNO (2007);HTTPS://WWW.YOUTUBE.COM/WATCH?V=OF7OTY2W5LQ , HTTPS://WWW.YOUTUBE.COM/WATCH?V=KHUJZ3DDUUM;HTTPS://WWW.YOUTUBE.COM/WATCH?V=FWJCFTFICIE;CIUDAD DE CORRIENTES, CORRIENTES;5
JUGLAR;ROCK ;;27/03/17;;;HTTPS://WWW.FACEBOOK.COM/JUGLARMUSICADELMUNNDO/?FREF=TS;POMELO (2014);HTTPS://WWW.YOUTUBE.COM/WATCH?V=JRWYTW_1URA , HTTPS://WWW.YOUTUBE.COM/WATCH?V=N0R6QL5NEKI;HTTPS://WWW.YOUTUBE.COM/WATCH?V=-VNEHPJIP5G , HTTPS://WWW.YOUTUBE.COM/WATCH?V=QDRFF28TXQQ;CIUDAD DE CORDOBA, CORDOBA;4
CLAN ROVER ROCK;ROCK ;;23/03/17;;HTTPS://TWITTER.COM/CLANROVERROCK;INSTAGRAM.COM/CLANROVERROCK , HTTP://WWW.CLANROVERROCK.COM.AR;ROCKERISMO HACIA EL EXITO (2014) , EL SACRIFICIO DEL HEREJE (2014);HTTPS://WWW.YOUTUBE.COM/WATCH?V=IQGF1SMEPKA , HTTPS://WWW.YOUTUBE.COM/WATCH?V=KLC4XLKOX-A;HTTPS://WWW.YOUTUBE.COM/WATCH?V=8KUOZKYJNUM , HTTPS://WWW.YOUTUBE.COM/WATCH?V=EI_RJKPNN4M;VILLA GENERAL MITRE;1
